Rank,Platform,Year,Genre,Publisher,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Bin_Global_Sales
1166,PS3,2007,Sports,Konami Digital Entertainment,Pro Evolution Soccer 2008,0.04,1.1,0.32,0.13,1.59,0.0
1167,X360,2008,Fighting,Ubisoft,SoulCalibur IV,0.92,0.44,0.07,0.15,1.59,0.0
1168,X360,2010,Action,Warner Bros. Interactive Entertainment,LEGO Harry Potter: Years 1-4,0.95,0.5,0.0,0.14,1.59,0.0
1169,PS,1999,Racing,Electronic Arts,NASCAR 2000,0.88,0.6,0.0,0.1,1.59,0.0
1170,PS4,2014,Shooter,Bethesda Softworks,Wolfenstein: The New Order,0.47,0.8,0.03,0.29,1.58,0.0
1171,Wii,2008,Sports,Take-Two Interactive,Carnival Games: Mini Golf,0.87,0.56,0.0,0.15,1.58,0.0
1172,DS,2008,Misc,Activision,Guitar Hero: On Tour Decades,0.85,0.58,0.0,0.16,1.58,0.0
1173,DS,2008,Simulation,Electronic Arts,MySims Kingdom,0.81,0.6,0.01,0.17,1.58,0.0
1174,PS,2000,Misc,Sony Computer Entertainment,Jampack Summer 2K,0.88,0.6,0.0,0.1,1.58,0.0
1175,X360,2012,Racing,Electronic Arts,Need for Speed: Most Wanted,0.62,0.8,0.01,0.15,1.58,0.0
1176,Wii,2009,Misc,Activision,Guitar Hero 5,0.94,0.49,0.0,0.15,1.58,0.0
1177,DS,2008,Misc,Disney Interactive Studios,High School Musical 3: Senior Year,0.64,0.76,0.0,0.17,1.58,0.0
1178,3DS,2012,Action,Square Enix,Kingdom Hearts 3D: Dream Drop Distance,0.88,0.26,0.34,0.09,1.58,0.0
1179,DS,2007,Action,Disney Interactive Studios,Hannah Montana: Music Jam,1.06,0.37,0.0,0.15,1.58,0.0
1180,DS,2009,Role-Playing,Nintendo,Pokemon Mystery Dungeon: Explorers of Sky,0.58,0.44,0.44,0.12,1.58,0.0
1181,GBA,2002,Platform,Vivendi Games,Spyro 2: Season of Flame,0.85,0.65,0.0,0.08,1.58,0.0
1182,PS2,2009,Sports,Konami Digital Entertainment,Pro Evolution Soccer 2010,0.1,0.18,0.12,1.16,1.57,0.0
1183,PS2,2001,Sports,Electronic Arts,NCAA Football 2002,0.77,0.6,0.0,0.2,1.57,0.0
1184,PS2,2002,Shooter,Gotham Games,Conflict: Desert Storm,0.98,0.53,0.0,0.06,1.57,0.0
1185,GC,2005,Misc,Nintendo,Mario Party 7,0.95,0.11,0.46,0.04,1.57,0.0
1186,PS3,2012,Sports,Konami Digital Entertainment,Pro Evolution Soccer 2013,0.18,0.64,0.49,0.25,1.56,0.0
1187,PS2,2000,Racing,Take-Two Interactive,Smuggler's Run,0.77,0.6,0.0,0.2,1.56,0.0
1188,PS2,2006,Fighting,Electronic Arts,Fight Night Round 3,1.07,0.4,0.0,0.1,1.56,0.0
1189,NES,1988,Platform,Nintendo,Donkey Kong Classics,0.59,0.14,0.81,0.02,1.56,0.0
1190,PS,1995,Action,Sony Computer Entertainment,Twisted Metal,1.32,0.19,0.0,0.05,1.56,0.0
1191,PS4,2016,Role-Playing,Namco Bandai Games,Dark Souls III,0.58,0.44,0.33,0.21,1.56,0.0
1192,SNES,1990,Action,Capcom,Final Fight,0.67,0.17,0.69,0.03,1.56,0.0
1193,GB,2001,Role-Playing,Enix Corporation,Dragon Quest Monsters 2,0.0,0.0,1.56,0.0,1.56,0.0
1194,GBA,2003,Misc,Nintendo,Pokemon Pinball: Ruby & Sapphire,0.68,0.38,0.44,0.05,1.56,0.0
1195,PS4,2013,Action,Warner Bros. Interactive Entertainment,LEGO Marvel Super Heroes,0.59,0.75,0.01,0.21,1.56,0.0
1196,X360,2010,Action,Take-Two Interactive,Mafia II,0.84,0.56,0.0,0.15,1.55,0.0
1197,PS3,2012,Action,Bethesda Softworks,Dishonored,0.72,0.54,0.04,0.25,1.55,0.0
1198,PS2,2002,Racing,Atari,Stuntman,0.76,0.59,0.0,0.2,1.55,0.0
1199,XB,2003,Shooter,Ubisoft,Tom Clancy's Rainbow Six 3,0.91,0.57,0.0,0.07,1.55,0.0
1200,Wii,2008,Sports,Atari,Active Life: Outdoor Challenge,0.79,0.44,0.19,0.14,1.55,0.0
1201,PS3,2010,Shooter,Take-Two Interactive,BioShock 2,0.85,0.47,0.02,0.22,1.55,0.0
1202,N64,2000,Action,Electronic Arts,007: The World is not Enough,1.13,0.38,0.02,0.03,1.55,0.0
1203,PS,2001,Action,Activision,Spider-Man 2: Enter: Electro,0.57,0.87,0.02,0.09,1.55,0.0
1204,XOne,2014,Action,Ubisoft,Watch Dogs,0.9,0.53,0.0,0.13,1.55,0.0
1205,PS3,2010,Action,LucasArts,Star Wars: The Force Unleashed II,0.8,0.53,0.0,0.22,1.55,0.0
1206,PS3,2011,Role-Playing,Namco Bandai Games,Ni no Kuni: Wrath of the White Witch,0.6,0.51,0.21,0.23,1.55,0.0
1207,PC,1999,Strategy,Westwood Studios,Command & Conquer: Tiberian Sun,1.55,0.0,0.0,0.0,1.55,0.0
1208,DS,2011,Strategy,Warner Bros. Interactive Entertainment,LEGO Battles: Ninjago,1.07,0.36,0.0,0.12,1.55,0.0
1209,WiiU,2015,Misc,Nintendo,Mario Party 10,0.69,0.5,0.24,0.11,1.55,0.0
1210,XOne,2013,Action,Microsoft Game Studios,Dead Rising 3,1.06,0.35,0.01,0.12,1.54,0.0
1211,Wii,2007,Action,Capcom,Resident Evil: The Umbrella Chronicles,0.68,0.43,0.29,0.14,1.54,0.0
1212,3DS,2015,Role-Playing,Nintendo,Fire Emblem Fates,0.71,0.22,0.52,0.1,1.54,0.0
1213,PS2,2000,Role-Playing,Sony Computer Entertainment,Dark Cloud,0.83,0.44,0.08,0.19,1.54,0.0
1214,PC,2003,Strategy,Activision,Warcraft III: The Frozen Throne,0.58,0.87,0.0,0.09,1.54,0.0
1215,X360,2006,Shooter,Ubisoft,Tom Clancy's Ghost Recon Advanced Warfighter,1.4,0.02,0.02,0.1,1.54,0.0
1216,DS,2008,Adventure,Disney Interactive Studios,Disney Fairies: Tinker Bell,0.86,0.52,0.01,0.15,1.54,0.0
1217,PS2,2005,Sports,Electronic Arts,MVP Baseball 2005,1.26,0.07,0.0,0.21,1.54,0.0
1218,PS,1996,Shooter,Fox Interactive,Die Hard Trilogy,0.85,0.58,0.0,0.1,1.54,0.0
1219,PC,2012,Shooter,Activision,Call of Duty: Black Ops II,0.63,0.69,0.0,0.21,1.53,0.0
1220,PS3,2009,Fighting,Electronic Arts,Fight Night Round 4,0.92,0.41,0.0,0.21,1.53,0.0
1221,Wii,2008,Simulation,Electronic Arts,MySims Kingdom,0.71,0.65,0.01,0.17,1.53,0.0
1222,DS,2007,Action,Electronic Arts,The Simpsons Game,0.57,0.79,0.0,0.17,1.53,0.0
1223,SNES,1994,Fighting,Acclaim Entertainment,Mortal Kombat 3,1.19,0.29,0.0,0.05,1.53,0.0
1224,PS,1998,Sports,989 Studios,NFL GameDay 99,1.44,0.05,0.0,0.04,1.53,0.0
1225,Wii,2009,Shooter,Activision,Call of Duty: Modern Warfare: Reflex Edition,0.95,0.43,0.0,0.14,1.53,0.0
1226,XOne,2016,Sports,Electronic Arts,FIFA 17,0.17,1.26,0.0,0.1,1.53,0.0
1227,GC,2003,Sports,Nintendo,Mario Golf: Toadstool Tour,1.09,0.15,0.25,0.04,1.53,0.0
1228,PS,1997,Sports,Electronic Arts,Tiger Woods 99 PGA Tour Golf,0.85,0.58,0.0,0.1,1.53,0.0
1229,WiiU,2014,Platform,Nintendo,Donkey Kong Country: Tropical Freeze,0.73,0.52,0.15,0.12,1.52,0.0
1230,X360,2011,Shooter,Electronic Arts,Dead Space 2,0.94,0.45,0.0,0.13,1.52,0.0
1231,PSP,2007,Racing,Sega,Sonic Rivals 2,0.44,0.69,0.0,0.39,1.52,0.0
1232,PS,1997,Fighting,Electronic Arts,Knockout Kings,1.07,0.39,0.0,0.06,1.52,0.0
1233,PS2,2002,Sports,Electronic Arts,The Simpsons Skateboarding,0.36,0.9,0.0,0.27,1.52,0.0
1234,PS,1996,Racing,Electronic Arts,NASCAR 98,1.43,0.05,0.0,0.04,1.52,0.0
1235,NES,1984,Racing,Nintendo,F1 Race,0.0,0.0,1.52,0.0,1.52,0.0
1236,NES,1984,Shooter,Namco Bandai Games,Xevious,0.18,0.06,1.27,0.01,1.52,0.0
1237,PS,1998,Racing,Electronic Arts,NASCAR 99,1.45,0.04,0.0,0.04,1.52,0.0
1238,PS,1998,Sports,Electronic Arts,NBA Live 2000,1.43,0.05,0.0,0.03,1.52,0.0
1239,PS3,2010,Action,Take-Two Interactive,Mafia II,0.5,0.72,0.04,0.26,1.52,0.0
1240,PS3,2006,Shooter,Activision,Call of Duty 3,0.6,0.63,0.03,0.26,1.52,0.0
1241,GC,2002,Puzzle,Atari,Super Monkey Ball 2,1.11,0.31,0.06,0.04,1.52,0.0
1242,PS2,2002,Action,Namco Bandai Games,Pac-Man World 2,1.26,0.05,0.0,0.21,1.51,0.0
1243,XOne,2014,Sports,Electronic Arts,Madden NFL 15,1.3,0.09,0.0,0.12,1.51,0.0
1244,Wii,2010,Racing,Sega,Sonic & Sega All-Stars Racing,0.65,0.71,0.0,0.15,1.51,0.0
1245,X360,2011,Action,LucasArts,LEGO Star Wars III: The Clone Wars,0.84,0.54,0.0,0.13,1.51,0.0
1246,PC,2011,Sports,Sega,Football Manager 2012,0.02,1.16,0.0,0.34,1.51,0.0
1247,3DS,2013,Role-Playing,GungHo,Puzzle & Dragons,0.0,0.0,1.51,0.0,1.51,0.0
1248,NES,1988,Action,Capcom,Mega Man 2,0.93,0.15,0.42,0.01,1.51,0.0
1249,PS,2001,Fighting,Electronic Arts,Simpsons Wrestling,0.23,1.16,0.0,0.11,1.51,0.0
1250,PS,1997,Sports,Electronic Arts,NBA Live 98,1.41,0.06,0.0,0.04,1.51,0.0
1251,PS2,2007,Action,Electronic Arts,The Simpsons Game,0.35,0.03,0.0,1.13,1.51,0.0
1252,PS,1997,Misc,Hasbro Interactive,Monopoly,1.18,0.27,0.0,0.05,1.51,0.0
1253,GC,2003,Fighting,Namco Bandai Games,SoulCalibur II,0.99,0.32,0.11,0.08,1.5,0.0
1254,PS3,2011,Shooter,Sony Computer Entertainment,Resistance 3,0.64,0.58,0.05,0.23,1.5,0.0
1255,PS2,2000,Racing,Crave Entertainment,Tokyo Xtreme Racer Zero,0.66,0.52,0.15,0.17,1.5,0.0
1256,PC,2010,Role-Playing,Square Enix,Final Fantasy XIV: A Realm Reborn,0.86,0.48,0.0,0.17,1.5,0.0
1257,PS,1998,Sports,Midway Games,NFL Blitz,1.41,0.05,0.0,0.04,1.5,0.0
1258,PS2,2002,Shooter,THQ,Red Faction II,0.49,0.78,0.0,0.23,1.5,0.0
1259,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,Super Scribblenauts,1.08,0.31,0.0,0.11,1.5,0.0
1260,PS2,2000,Sports,Electronic Arts,Madden NFL 2001,1.19,0.07,0.05,0.2,1.5,0.0
1261,N64,2000,Fighting,THQ,WWF No Mercy,1.2,0.27,0.02,0.02,1.5,0.0
1262,NES,1985,Platform,Nintendo,Ice Climber,0.46,0.1,0.92,0.02,1.5,0.0
1263,SCD,1993,Platform,Sega,Sonic CD,1.0,0.36,0.09,0.05,1.5,0.0
1264,NES,1986,Platform,Hudson Soft,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,0.0,0.0,1.5,0.0,1.5,0.0
1265,X360,2010,Action,Capcom,Dead Rising 2,0.75,0.53,0.09,0.12,1.5,0.0
1266,PS3,2008,Misc,MTV Games,Rock Band 2,1.13,0.2,0.0,0.16,1.5,0.0
1267,PS,1998,Action,Namco Bandai Games,Pac-Man World,1.21,0.14,0.1,0.04,1.5,0.0
1268,Wii,2009,Misc,Disney Interactive Studios,Disney Sing It: Pop Hits,1.08,0.28,0.0,0.13,1.49,0.0
1269,GC,2003,Role-Playing,Nintendo,Final Fantasy: Crystal Chronicles,0.72,0.38,0.36,0.04,1.49,0.0
1270,XB,2002,Shooter,Electronic Arts,Medal of Honor: Frontline,1.0,0.43,0.0,0.06,1.49,0.0
1271,PS2,2008,Sports,Electronic Arts,Madden NFL 09,1.22,0.0,0.0,0.27,1.49,0.0
1272,DS,2008,Adventure,THQ,Drawn To Life: SpongeBob SquarePants Edition,1.0,0.36,0.0,0.13,1.49,0.0
1273,N64,2000,Platform,Nintendo,Banjo-Tooie,0.82,0.36,0.25,0.06,1.49,0.0
1274,PS2,2006,Misc,Sony Computer Entertainment,Buzz! The BIG Quiz,0.0,1.1,0.0,0.39,1.49,0.0
1275,X360,2008,Action,Activision,007: Quantum of Solace,0.82,0.52,0.01,0.14,1.49,0.0
1276,Wii,2010,Simulation,Electronic Arts,The Sims 3,0.61,0.73,0.0,0.15,1.49,0.0
1277,Wii,2009,Sports,Nintendo,New Play Control! Mario Power Tennis,0.37,0.69,0.28,0.14,1.48,0.0
1278,DS,2006,Adventure,THQ,Bratz: Forever Diamondz,0.43,0.88,0.0,0.18,1.48,0.0
1279,PS2,2006,Shooter,Square Enix,Dirge of Cerberus: Final Fantasy VII,0.47,0.37,0.52,0.12,1.48,0.0
1280,NES,1990,Sports,Nintendo,Nintendo World Cup,0.28,0.5,0.65,0.05,1.48,0.0
1281,N64,1999,Fighting,THQ,WWF WrestleMania 2000,1.2,0.25,0.02,0.02,1.48,0.0
1282,GB,1997,Platform,Nintendo,Wario Land II,0.7,0.35,0.39,0.04,1.48,0.0
1283,PS3,2011,Role-Playing,Electronic Arts,Mass Effect 2,0.78,0.47,0.03,0.2,1.48,0.0
1284,PS2,2005,Sports,Take-Two Interactive,Major League Baseball 2K5,0.72,0.56,0.0,0.19,1.48,0.0
1285,PS2,2004,Fighting,Electronic Arts,Fight Night 2004,1.08,0.2,0.0,0.2,1.48,0.0
1286,XB,2004,Action,Ubisoft,Tom Clancy's Splinter Cell: Pandora Tomorrow,0.82,0.59,0.0,0.07,1.48,0.0
1287,DS,2007,Simulation,Ubisoft,Imagine: Master Chef,0.39,0.92,0.0,0.17,1.47,0.0
1288,PSV,2012,Action,Ubisoft,Assassin's Creed III: Liberation,0.58,0.55,0.06,0.28,1.47,0.0
1289,PS3,2008,Fighting,Ubisoft,SoulCalibur IV,0.72,0.41,0.14,0.2,1.47,0.0
1290,N64,1999,Action,Nintendo,Mario Golf,0.62,0.18,0.65,0.02,1.47,0.0
1291,GBA,2003,Platform,THQ,Disney Princess,1.04,0.37,0.0,0.06,1.47,0.0
1292,X360,2006,Fighting,Electronic Arts,Fight Night Round 3,1.33,0.03,0.01,0.1,1.47,0.0
1293,PS3,2013,Action,Konami Digital Entertainment,Metal Gear Rising: Revengeance,0.45,0.4,0.44,0.18,1.47,0.0
1294,DS,2008,Role-Playing,Square Enix,Chrono Trigger,0.69,0.2,0.49,0.09,1.47,0.0
1295,X360,2010,Action,LucasArts,Star Wars: The Force Unleashed II,0.95,0.4,0.0,0.12,1.47,0.0
1296,Wii,2008,Shooter,Sega,The House of the Dead 2 & 3 Return,0.78,0.5,0.03,0.15,1.47,0.0
1297,DS,2007,Adventure,Disney Interactive Studios,Disney Princess: Magical Jewels,1.15,0.2,0.0,0.12,1.47,0.0
1298,PSV,2012,Platform,Sony Computer Entertainment,LittleBigPlanet PS Vita,0.4,0.72,0.02,0.33,1.47,0.0
1299,PS,1998,Role-Playing,SquareSoft,Xenogears,0.29,0.19,0.89,0.1,1.46,0.0
1300,GBA,2004,Platform,THQ,The SpongeBob SquarePants Movie,1.02,0.38,0.0,0.06,1.46,0.0
1301,X360,2012,Shooter,Ubisoft,Tom Clancy's Ghost Recon: Future Soldier,0.93,0.4,0.02,0.12,1.46,0.0
1302,X360,2008,Shooter,Electronic Arts,Battlefield: Bad Company,0.81,0.46,0.04,0.15,1.46,0.0
1303,PS2,2003,Misc,Midway Games,Midway Arcade Treasures,0.72,0.56,0.0,0.19,1.46,0.0
1304,DS,2008,Platform,THQ,Wall-E,0.46,0.83,0.0,0.17,1.46,0.0
1306,X360,2011,Shooter,THQ,Homefront,0.83,0.48,0.02,0.12,1.46,0.0
1307,GC,2001,Puzzle,Atari,Super Monkey Ball,0.95,0.37,0.1,0.04,1.46,0.0
1308,2600,1981,Platform,Coleco,Donkey Kong,1.36,0.08,0.0,0.02,1.46,0.0
1309,PS,1998,Fighting,GT Interactive,Mortal Kombat 4,0.81,0.55,0.0,0.1,1.46,0.0
1310,GC,2005,Sports,Nintendo,Mario Superstar Baseball,0.93,0.24,0.25,0.04,1.46,0.0
1311,PS3,2012,Role-Playing,Electronic Arts,Mass Effect 3,0.63,0.59,0.03,0.21,1.46,0.0
1312,Wii,2012,Action,Warner Bros. Interactive Entertainment,LEGO Batman 2: DC Super Heroes,0.94,0.4,0.0,0.11,1.46,0.0
1313,PS3,2012,Action,Electronic Arts,Medal of Honor: Warfighter,0.47,0.65,0.06,0.28,1.46,0.0
1314,PS,1998,Fighting,THQ,WCW vs the World,1.17,0.2,0.04,0.05,1.46,0.0
1315,PSP,2006,Fighting,Sega,SNK vs. Capcom: The Match of the Millennium,0.53,0.58,0.0,0.35,1.46,0.0
1316,3DS,2013,Platform,Nintendo,LEGO City Undercover,0.51,0.75,0.07,0.12,1.46,0.0
1317,PS2,2004,Action,Capcom,Onimusha 3: Demon Siege,0.37,0.47,0.54,0.07,1.45,0.0
1318,X360,2013,Role-Playing,Activision,Diablo III,0.89,0.44,0.0,0.12,1.45,0.0
1319,XOne,2015,Action,Warner Bros. Interactive Entertainment,Batman: Arkham Knight,0.86,0.46,0.0,0.13,1.45,0.0
1320,PS3,2008,Shooter,Take-Two Interactive,BioShock,0.75,0.49,0.01,0.21,1.45,0.0
1321,PS2,2004,Shooter,Take-Two Interactive,Red Dead Revolver,0.71,0.55,0.0,0.19,1.45,0.0
1322,PC,2011,Strategy,Ubisoft,Anno 2070,0.0,1.13,0.0,0.32,1.45,0.0
1323,PS2,2003,Action,Capcom,Resident Evil: Outbreak,0.54,0.35,0.46,0.1,1.45,0.0
1324,Wii,2007,Misc,Electronic Arts,Smarty Pants,0.53,0.76,0.0,0.16,1.45,0.0
1325,GB,1996,Simulation,Namco Bandai Games,Tamagotchi,0.0,0.0,1.44,0.01,1.45,0.0
1326,NES,1984,Misc,Nintendo,4 Nin uchi Mahjong,0.0,0.0,1.45,0.0,1.45,0.0
1327,SNES,1993,Fighting,Namco Bandai Games,Dragon Ball Z,0.0,0.0,1.45,0.0,1.45,0.0
1328,GB,1997,Simulation,Namco Bandai Games,Game de Hakken!! Tamagotchi 2,0.0,0.0,1.44,0.01,1.45,0.0
1329,N64,1999,Misc,Namco Bandai Games,Namco Museum 64,1.24,0.17,0.03,0.01,1.45,0.0
1330,Wii,2008,Puzzle,Electronic Arts,Hasbro Family Game Night,0.97,0.34,0.0,0.13,1.45,0.0
1331,DS,2010,Role-Playing,Square Enix,Dragon Quest Monsters: Joker 2,0.11,0.08,1.24,0.02,1.45,0.0
1332,PS2,2005,Sports,Activision,Tony Hawk's American Wasteland (Weekly american sales),1.38,0.05,0.0,0.02,1.45,0.0
1333,DS,2007,Misc,Ubisoft,My Word Coach,0.37,0.9,0.0,0.18,1.45,0.0
1334,DS,2007,Misc,Rising Star Games,Hello Kitty Party,0.79,0.53,0.0,0.13,1.44,0.0
1335,PS2,2007,Misc,Sony Computer Entertainment,SingStar Pop,0.04,1.08,0.0,0.32,1.44,0.0
1336,PSP,2006,Racing,Sega,Sonic Rivals,0.73,0.42,0.0,0.28,1.44,0.0
1337,PC,2013,Simulation,Electronic Arts,SimCity (2013),0.48,0.77,0.0,0.19,1.44,0.0
1338,SNES,1996,Platform,Nintendo,Kirby Super Star,0.26,0.07,1.09,0.02,1.44,0.0
1339,PS3,2014,Shooter,Ubisoft,Far Cry 4,0.33,0.79,0.08,0.23,1.44,0.0
1340,X360,2007,Fighting,THQ,WWE SmackDown vs Raw 2008,0.92,0.38,0.0,0.13,1.44,0.0
1341,X360,2010,Racing,Microsoft Game Studios,Kinect Joy Ride,0.92,0.4,0.0,0.12,1.44,0.0
1342,Wii,2006,Misc,Ubisoft,Rayman Raving Rabbids,1.23,0.07,0.02,0.11,1.44,0.0
1343,PS3,2013,Racing,Electronic Arts,Need for Speed Rivals,0.33,0.74,0.05,0.31,1.44,0.0
1344,PS2,2004,Sports,Electronic Arts,Tiger Woods PGA Tour 2005,1.03,0.32,0.0,0.09,1.44,0.0
1345,PS3,2011,Shooter,Electronic Arts,Dead Space 2,0.73,0.5,0.0,0.21,1.44,0.0
1346,PS2,2002,Sports,Electronic Arts,NCAA Football 2003,1.16,0.08,0.0,0.19,1.44,0.0
1347,PS,1999,Action,Hasbro Interactive,Frogger 2: Swampy's Revenge,0.8,0.54,0.0,0.09,1.43,0.0
1348,X360,2013,Action,Disney Interactive Studios,Disney Infinity,0.96,0.37,0.0,0.11,1.43,0.0
1349,Wii,2009,Action,Activision,LEGO Indiana Jones 2: The Adventure Continues,0.91,0.39,0.0,0.13,1.43,0.0
1350,X360,2009,Misc,Sega,Sonic's Ultimate Genesis Collection,0.85,0.46,0.0,0.13,1.43,0.0
1351,Wii,2008,Sports,Electronic Arts,Tiger Woods PGA Tour 09 All-Play,0.81,0.48,0.0,0.14,1.43,0.0
1352,GB,1988,Platform,Capcom,Disney's DuckTales,0.82,0.23,0.35,0.03,1.43,0.0
1353,GBA,2004,Platform,Nintendo,Classic NES Series: Super Mario Bros.,0.0,0.0,1.39,0.03,1.43,0.0
1354,PS,1999,Sports,Electronic Arts,Triple Play 2000,0.79,0.54,0.0,0.09,1.43,0.0
1355,3DS,2013,Role-Playing,Square Enix,Dragon Quest VII: Warriors of Eden,0.07,0.04,1.3,0.01,1.42,0.0
1356,PS2,2002,Sports,Activision,Cabela's Big Game Hunter,0.7,0.54,0.0,0.18,1.42,0.0
1357,PS3,2010,Fighting,THQ,UFC Undisputed 2010,0.8,0.41,0.02,0.19,1.42,0.0
1358,PS2,2005,Sports,Electronic Arts,NBA Live 06 (Weekly american sales),1.35,0.05,0.0,0.02,1.42,0.0
1359,GBA,2004,Action,Nintendo,The Legend of Zelda: The Minish Cap,0.89,0.22,0.22,0.1,1.42,0.0
1360,PS2,2004,Sports,Electronic Arts,NFL Street,1.15,0.08,0.0,0.19,1.42,0.0
1361,X360,2011,Platform,Sega,Sonic Generations,0.71,0.57,0.0,0.14,1.42,0.0
1362,SNES,1994,Action,Nintendo,Super Metroid,0.57,0.12,0.71,0.02,1.42,0.0
1363,NES,1987,Sports,Namco Bandai Games,Pro Yakyuu Family Stadium '87,0.12,0.0,1.3,0.0,1.42,0.0
1364,X360,2008,Action,Electronic Arts,Dead Space,0.89,0.4,0.0,0.13,1.42,0.0
1365,GC,2002,Action,Capcom,Resident Evil (Remake),0.63,0.38,0.35,0.05,1.42,0.0
1366,DS,2009,Role-Playing,Nintendo,Inazuma Eleven 2,0.0,0.21,1.18,0.03,1.42,0.0
1367,PS4,2014,Action,Square Enix,Tomb Raider (2013),0.47,0.64,0.06,0.25,1.41,0.0
1368,PSP,2006,Action,LucasArts,LEGO Star Wars II: The Original Trilogy,0.58,0.51,0.0,0.32,1.41,0.0
1369,Wii,2010,Action,Disney Interactive Studios,Toy Story 3: The Video Game,0.64,0.63,0.0,0.14,1.41,0.0
1370,X360,2009,Fighting,Electronic Arts,Fight Night Round 4,0.95,0.34,0.0,0.13,1.41,0.0
1371,GC,2005,Action,Eidos Interactive,LEGO Star Wars: The Video Game,1.09,0.28,0.0,0.04,1.41,0.0
1372,X360,2013,Fighting,Warner Bros. Interactive Entertainment,Injustice: Gods Among Us,0.97,0.34,0.0,0.11,1.41,0.0
1373,PS3,2014,Sports,Electronic Arts,Madden NFL 15,1.07,0.15,0.0,0.19,1.41,0.0
1374,GEN,1994,Platform,Virgin Interactive,Disney's The Lion King,0.97,0.37,0.03,0.05,1.41,0.0
1375,PSP,2004,Racing,Sony Computer Entertainment,Ridge Racer,0.36,0.45,0.32,0.28,1.41,0.0
1376,Wii,2010,Action,Nintendo,Metroid: Other M,0.87,0.31,0.13,0.1,1.41,0.0
1377,PS,1999,Fighting,Electronic Arts,Knockout Kings 2000,1.02,0.34,0.0,0.05,1.41,0.0
1378,PS2,2003,Racing,Sony Computer Entertainment,Gran Turismo 4 Prologue,0.0,0.47,0.77,0.17,1.41,0.0
1379,PS2,2001,Racing,Sony Computer Entertainment,Twisted Metal: Black,1.19,0.17,0.0,0.05,1.41,0.0
1380,PS2,2004,Racing,Electronic Arts,NASCAR 2005: Chase for the Cup,0.69,0.54,0.0,0.18,1.41,0.0
1381,Wii,2010,Shooter,Activision,Call of Duty: Black Ops,0.82,0.47,0.0,0.12,1.4,0.0
1382,XB,2002,Action,Activision,Spider-Man: The Movie,1.07,0.28,0.0,0.05,1.4,0.0
1383,PS2,2008,Racing,Electronic Arts,Need For Speed: Undercover,0.38,0.08,0.03,0.93,1.4,0.0
1384,PS,1996,Sports,Sony Computer Entertainment,2Xtreme,1.15,0.2,0.0,0.05,1.4,0.0
1385,PS3,2008,Action,Ubisoft,Far Cry 2,0.43,0.7,0.01,0.27,1.4,0.0
1386,GBA,2004,Platform,THQ,Sonic Advance 3,0.74,0.52,0.08,0.06,1.4,0.0
1387,NES,1990,Role-Playing,SquareSoft,Final Fantasy III,0.0,0.0,1.39,0.01,1.4,0.0
1388,PC,2013,Shooter,Electronic Arts,Battlefield 4,0.38,0.86,0.0,0.16,1.4,0.0
1389,PS2,2002,Racing,Codemasters,Colin McRae Rally 3,0.03,1.05,0.02,0.3,1.4,0.0
1390,PS,2001,Sports,Electronic Arts,Madden NFL 2002,0.78,0.53,0.0,0.09,1.39,0.0
1391,PS4,2016,Shooter,Bethesda Softworks,Doom (2016),0.49,0.66,0.02,0.22,1.39,0.0
1392,DS,2007,Role-Playing,Square Enix,Final Fantasy XII: Revenant Wings,0.34,0.42,0.54,0.1,1.39,0.0
1393,DS,2009,Action,Activision,Bakugan: Battle Brawlers,1.27,0.02,0.0,0.09,1.39,0.0
1394,PS3,2011,Shooter,Square Enix,Deus Ex: Human Revolution,0.5,0.6,0.07,0.23,1.39,0.0
1395,SNES,1994,Sports,Acclaim Entertainment,NBA Jam,1.19,0.16,0.0,0.03,1.39,0.0
1396,NES,1991,Action,Konami Digital Entertainment,Teenage Mutant Ninja Turtles III: The Manhattan Project,1.05,0.17,0.15,0.02,1.39,0.0
1397,PS2,2005,Action,Tecmo Koei,Dynasty Warriors 5,0.24,0.18,0.91,0.06,1.39,0.0
1398,Wii,2007,Action,Disney Interactive Studios,Hannah Montana: Spotlight World Tour,0.87,0.38,0.0,0.13,1.39,0.0
1399,PS3,2012,Action,THQ,WWE '13,0.51,0.62,0.0,0.26,1.39,0.0
1400,X360,2011,Shooter,Square Enix,Deus Ex: Human Revolution,0.76,0.48,0.02,0.12,1.39,0.0
1401,XB,2003,Action,Activision,True Crime: Streets of LA,0.96,0.37,0.0,0.05,1.38,0.0
1402,PSP,2005,Simulation,Electronic Arts,The Sims 2,0.49,0.56,0.0,0.33,1.38,0.0
1403,N64,2000,Role-Playing,Nintendo,Paper Mario,0.58,0.18,0.59,0.02,1.38,0.0
1404,3DS,2012,Role-Playing,Nintendo,Bravely Default: Flying Fairy,0.5,0.32,0.49,0.07,1.38,0.0
1405,X360,2014,Shooter,Electronic Arts,Titanfall,0.87,0.38,0.02,0.11,1.38,0.0
1406,PS,1998,Shooter,Take-Two Interactive,Duke Nukem: Time to Kill,0.77,0.54,0.0,0.07,1.38,0.0
1407,PSV,2012,Role-Playing,Atlus,Persona 4: Golden,0.46,0.34,0.38,0.21,1.38,0.0
